"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Actinostromatida"
"Access Time","Fri 2026-01-02 02:55:04 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Actinostromatida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.108"
"Records Found","500"
"Records Returned","500"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"125241","occ","","","10147","Actinostroma jurmanense","genus","3341","species not entered","Actinostroma","genus","3341","Pragian","Early Emsian","413.02","399.5","458"
"147133","occ","","","13008","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Middle Frasnian","","379","375.2","4245"
"147144","occ","","","13010","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Middle Frasnian","","379","375.2","4245"
"152466","occ","","","13592","Actinostroma astroites","genus","3341","species not entered","Actinostroma","genus","3341","Sheinwoodian","","432.9","430.6","6128"
"152467","occ","","","13592","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Sheinwoodian","","432.9","430.6","6128"
"152677","occ","","","13597","Actinostroma sp.","genus","3341","","Actinostroma","genus","3341","Sheinwoodian","","432.9","430.6","6128"
"154568","occ","","","13724","Vikingia tenue","genus","3456","species not entered","Vikingia","genus","3456","Jaagarahu","","431.2","428.6","6144"
"155942","occ","","","13873","Plectostroma malevskii","genus","3416","species not entered","Plectostroma","genus","3416","Pridoli","","422.7","419.62","6163"
"155985","occ","","","13873","Plectostroma podolicum","genus","3416","species not entered","Plectostroma","genus","3416","Pridoli","","422.7","419.62","6163"
"207126","occ","","","23057","Densastroma sp.","genus","3370","","Densastroma","genus","3370","Homerian","","430.6","426.7","6632"
"207130","occ","","","23057","Plectostroma sp.","genus","3416","","Plectostroma","genus","3416","Homerian","","430.6","426.7","6632"
