"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=rugosa&interval=Ordovician,Devonian"
"Access Time","Fri 2026-01-02 01:59:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","rugosa"
"","interval","Ordovician,Devonian"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.282"
"Records Found","9417"
"Records Returned","9417"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"6221","occ","","","464","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61202"
"6252","occ","","","465","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","60994"
"6272","occ","","","466","? Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Telychian","","438.6","432.9","17053"
"6373","occ","","","471","Cyathophyllum sp.","genus","5338","","Cyathophyllum","genus","5338","Wenlock","","432.9","426.7","61273"
"6446","occ","","","473","Cystiphyllum sp.","genus","5349","","Cystiphyllum","genus","5349","Wenlock","","432.9","426.7","61273"
"6447","occ","","","473","Diplophyllum sp.","genus","5385","","Diplophyllum","genus","5385","Wenlock","","432.9","426.7","61273"
"6448","occ","","","473","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Wenlock","","432.9","426.7","61273"
"6452","occ","","","473","Palaeophyllum sp.","genus","5717","","Palaeophyllum","genus","5717","Wenlock","","432.9","426.7","61273"
"6453","occ","","","473","Zaphrentis sp.","genus","111319","species not entered","Zaphrenthis","genus","6080","Wenlock","","432.9","426.7","61273"
"6537","occ","","","475","Diphyphyllum sp.","genus","5383","","Diphyphyllum","genus","5383","Niagaran","","439.4","422.7","61149"
"6580","occ","","","476","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Sheinwoodian","","432.9","430.6","17053"
"6636","occ","","","479","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Ludlow","","426.7","422.7","25317"
"6677","occ","","","480","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Gorstian","","426.7","425","25317"
"6713","occ","","","481","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Ludlow","","426.7","422.7","25317"
"6755","occ","","","482","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Ludlow","","426.7","422.7","25317"
"6848","occ","","","487","Entelophyllum sp.","genus","5420","","Entelophyllum","genus","5420","Ludlow","","426.7","422.7","17055"
"6852","occ","","","487","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Ludlow","","426.7","422.7","17055"
"7128","occ","","","500","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Wenlock","","432.9","426.7","17054"
"7189","occ","","","502","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","6160"
"7204","occ","","","503","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","6160"
"7239","occ","","","504","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Aeronian","","440.5","438.6","6160"
"7250","occ","","","505","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Aeronian","","440.5","438.6","6160"
"7284","occ","","","507","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Aeronian","","440.5","438.6","6160"
"7298","occ","","","508","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","6608"
"7312","occ","","","509","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","60994"
"7322","occ","","","511","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Silurian","","443.1","419.62","61179"
"7355","occ","","","513","Petrozium sp.","genus","5770","","Petrozium","genus","5770","Llandovery","","443.1","432.9","6608"
"7356","occ","","","513","Ptychophyllum sp.","genus","5848","","Ptychophyllum","genus","5848","Llandovery","","443.1","432.9","6608"
"7357","occ","","","513","Cystiphorolites sp.","genus","5347","","Cystiphorolites","genus","5347","Llandovery","","443.1","432.9","6608"
"7358","occ","","","513","Heterolasma sp.","genus","5497","","Heterolasma","genus","5497","Llandovery","","443.1","432.9","6608"
"7359","occ","","","513","Dinophyllum sp.","genus","5381","","Dinophyllum","genus","5381","Llandovery","","443.1","432.9","6608"
"7360","occ","","","513","Arachnophyllum sp.","genus","5169","","Arachnophyllum","genus","5169","Llandovery","","443.1","432.9","6608"
"7372","occ","","","514","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Llandovery","","443.1","432.9","60988"
"7373","occ","","","514","Dinophyllum sp.","genus","5381","","Dinophyllum","genus","5381","Llandovery","","443.1","432.9","60988"
"7374","occ","","","514","Pilophyllum sp.","genus","5781","","Pilophyllum","genus","5781","Llandovery","","443.1","432.9","60988"
"7382","occ","","","517","Cyathophyllum sp.","genus","5338","","Cyathophyllum","genus","5338","Pridoli","","422.7","419.62","60924"
"7414","occ","","","520","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Aeronian","","440.5","438.6","61274"
"7437","occ","","","521","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61202"
"7469","occ","","","522","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Wenlock","","432.9","426.7","60994"
"7505","occ","","","525","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61477"
"7510","occ","","","526","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61477"
"7565","occ","","","528","Rhizophyllum sp.","genus","5871","","Rhizophyllum","genus","5871","Silurian","","443.1","419.62","17055"
"7566","occ","","","528","Spongophylloides sp.","genus","5932","","Spongophylloides","genus","5932","Silurian","","443.1","419.62","17055"
"7567","occ","","","528","Amsdenoides sp.","genus","5147","","Amsdenoides","genus","5147","Silurian","","443.1","419.62","17055"
"7568","occ","","","528","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Silurian","","443.1","419.62","17055"
"7569","occ","","","528","Cystiphyllum sp.","genus","5349","","Cystiphyllum","genus","5349","Silurian","","443.1","419.62","17055"
"7570","occ","","","528","Entelophyllum sp.","genus","5420","","Entelophyllum","genus","5420","Silurian","","443.1","419.62","17055"
"7571","occ","","","528","? Micula sp.","genus","5638","","Micula","genus","5638","Silurian","","443.1","419.62","17055"
"7572","occ","","","528","Capnophyllum sp.","genus","5256","","Capnophyllum","genus","5256","Silurian","","443.1","419.62","17055"
"7574","occ","","","528","Tryplasma sp.","genus","6023","","Tryplasma","genus","6023","Silurian","","443.1","419.62","17055"
"7575","occ","","","528","Zelophyllum sp.","genus","6089","","Zelophyllum","genus","6089","Silurian","","443.1","419.62","17055"
"7576","occ","","","528","Oliveria sp.","genus","5702","","Oliveria","genus","5702","Silurian","","443.1","419.62","17055"
"7577","occ","","","528","Syringaxon sp.","genus","5975","","Syringaxon","genus","5975","Silurian","","443.1","419.62","17055"
"7578","occ","","","528","Ditoecholasma sp.","genus","5389","","Ditoecholasma","genus","5389","Silurian","","443.1","419.62","17055"
"7579","occ","","","528","Saucrophyllum sp.","genus","5886","","Saucrophyllum","genus","5886","Silurian","","443.1","419.62","17055"
"7580","occ","","","528","? Petraia sp.","genus","5766","","Petraia","genus","5766","Silurian","","443.1","419.62","17055"
"7581","occ","","","528","Duncanella sp.","genus","5398","","Duncanella","genus","5398","Silurian","","443.1","419.62","17055"
"7582","occ","","","528","cf. Pseudocryptophyllum sp.","genus","5827","","Pseudocryptophyllum","genus","5827","Silurian","","443.1","419.62","17055"
"7583","occ","","","528","Anisophyllum sp.","genus","5154","","Anisophyllum","genus","5154","Silurian","","443.1","419.62","17055"
"7584","occ","","","528","cf. Oligophyllum sp.","genus","5701","","Oligophyllum","genus","5701","Silurian","","443.1","419.62","17055"
"7585","occ","","","528","cf. Allotropiophyllum sp.","genus","5136","","Allotropiophyllum","genus","5136","Silurian","","443.1","419.62","17055"
"7741","occ","","","532","? Duncanella sp.","genus","5398","","Duncanella","genus","5398","Llandovery","","443.1","432.9","61498"
"7837","occ","","","537","Paleocyclus cf. porpita","species","122216","","Paleocyclus porpita","species","122215","Llandovery","Wenlock","443.1","426.7","20335"
"7839","occ","","","537","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","Wenlock","443.1","426.7","20335"
"7842","occ","","","537","? Tryplasma sp.","genus","6023","","Tryplasma","genus","6023","Llandovery","Wenlock","443.1","426.7","20335"
"7849","occ","","","539","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Llandovery","","443.1","432.9","61498"
"7955","occ","","","541","Cystiphyllum sp.","genus","5349","","Cystiphyllum","genus","5349","Wenlock","","432.9","426.7","13433"
"7957","occ","","","541","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Wenlock","","432.9","426.7","13433"
"7959","occ","","","541","Neozaphrentis sp.","genus","5683","","Neozaphrentis","genus","5683","Wenlock","","432.9","426.7","13433"
"8859","occ","","","397","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Late Ordovician","","458.2","443.1","61179"
"8919","occ","","","400","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Richmondian","","449.6","445.5","60930"
"8956","occ","","","403","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Ashgill","","449.5","443.1","60988"
"9086","occ","","","420","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Caradoc","","458.2","449.5","60936"
"9125","occ","","","424","? Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Middle Ordovician","","471.3","458.2","61151"
"9236","occ","","","430","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Middle Ordovician","","471.3","458.2","61112"
"9425","occ","","","439","Palaeophyllum sp.","genus","5717","","Palaeophyllum","genus","5717","Hirnantian","","445.2","443.1","19960"
"9426","occ","","","439","Rugosa indet.","subclass","5113","","Rugosa","subclass","5113","Hirnantian","","445.2","443.1","19960"
"9471","occ","","","441","Helicelasma sp.","genus","5488","","Helicelasma","genus","5488","Hirnantian","","445.2","443.1","19960"
"9514","occ","","","441","? Grewingkia sp.","genus","5466","","Grewingkia","genus","5466","Hirnantian","","445.2","443.1","19960"
"9515","occ","","","441","Leolasma sp.","genus","5578","","Leolasma","genus","5578","Hirnantian","","445.2","443.1","19960"
"9516","occ","","","441","Streptelasma sp.","genus","5951","","Streptelasma","genus","5951","Hirnantian","","445.2","443.1","19960"
"9559","occ","","","443","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Llandovery","","443.1","432.9","61474"
"9602","occ","","","445","Enterolasma sp.","genus","5421","","Enterolasma","genus","5421","Llandovery","","443.1","432.9","61474"
