min_ma,max_ma,r_number,name,country,formation,system,series,intervall,time_slice,reliabilit,subsurface,type,thickness,m_thick,width,m_width,extension,m_ext,ext_belt
100.5,113,903,"La Gándara, Soba Valley",Spain,,Cretaceous,Lower Cretaceous,lower Albian,24,3,0,3,3,150,,,3,250,10
13.8,14.8,1978,Murchas,Spain,,Neogene,Miocene,late Langhian,31,3,0,1,1,4,,,1,,
7.3,11.6,1473,"Monachil, Granada",Spain,,Neogene,Miocene,Tortonian,32,3,0,1,2,,,,2,,50
208.5,228,396,Pico de la Carne,Spain,,Triassic,Upper Triassic,Norian,18,2,0,4,2,,,,3,,
387.7,393.3,1217,"Torquay, England",United Kingdom,,Devonian,Middle Devonian,Eifelian,9,2,0,2,2,,,,3,,15
382.7,387.7,1218,"Long Quarry Point, Torquay, England",United Kingdom,,Devonian,Middle Devonian,Givetian,10,2,0,1,2,50,,,4,,20
199.3,201.3,3356,"Sutton Stone, Southerndown, South Wales",United Kingdom,Sutton,Jurassic,Lower Jurassic,Hettangian,19,2,0,4,1,,1,,2,,
331,336,559,"Charlestown, Scotland",United Kingdom,,Carboniferous,Mississippian,Brigantian,12,3,0,2,1,,,,2,,
201.3,208.5,7,Rio Blanco,Spain,,Triassic,Upper Triassic,Rhaetian,18,2,0,2,2,,,,2,,
182.7,190.8,352,"Jebel Bou Dahar, High Atlas",Morocco,NA,Jurassic,Lower Jurassic,Domerian,19,3,0,1,2,12,2,20,3,200,450
168.3,170.3,4075," La Guardia, Jaén",Spain,Jabalcuz,Jurassic,Middle Jurassic,Bajocian,20,2,0,4,2,24,2,,3,,
342,345,3174,"Nant-yr-ogof quarry, Wales",United Kingdom,Moel Hiraddug Limestone,Carboniferous,Mississippian,Arundian,12,3,0,4,1,,2,,2,,
100.5,113,1175,Villasana de Mena,Spain,,Cretaceous,Lower Cretaceous,Albian,24,2,0,1,2,,,,4,,5
7.3,9,2000,Guercif,Morocco,,Neogene,Miocene,late Tortonian,32,3,0,1,1,10,,,1,,200
342,345,1312,"Elliscales Quarry, Furness, England",United Kingdom,Red Hill Oolite,Carboniferous,Mississippian,Arundian,12,3,0,1,2,15,1,5,1,25,
345,346.7,1311,"Marton Quarry, Furness, England",United Kingdom,Martin Limestone,Carboniferous,Mississippian,Chadian,11,3,0,1,1,1,,,1,,
346.7,358.9,361,"Cannington Park, Great Britain",United Kingdom,,Carboniferous,Mississippian,Ivorian,11,3,1,3,3,,,,4,,150
168.3,171.1,377,Jebel Mechkakour,Morocco,,Jurassic,Middle Jurassic,Aalenian/Bajocian,20,2,0,1,2,,,,2,,250
5.3,7.3,669,Melilla,Morocco,,Neogene,Miocene,Messinian,32,3,0,1,2,,,,4,,12
145,152.1,3513,"Parador, Sierra de Cazorla, Jaen, Andalucia",Spain,,Jurassic,Upper Jurassic,Tithonian,22,2,0,2,1,10,,,,,
157.3,163.5,3486,"Sierra de Cazorla (RGCHSP), Andalucia",Spain,,Jurassic,Upper Jurassic,middle/upper Oxfordian,21,3,0,1,1,4,1,,1,10,
132.9,139.8,4342,Puerto Llano section,Spain,"Sierra del Pozo, upper member",Cretaceous,Lower Cretaceous,Valanginian,23,3,0,1,1,2,1,,,,
427.4,433.4,1336,"Usk, Wales",United Kingdom,,Silurian,Wenlock,upper Wenlock,7,3,0,2,2,,,,2,,
242,247.2,3611,"Las Juntas, Sierra de Baza",Spain,,Triassic,Middle Triassic,Illyrian-Fassanian,17,2,0,2,1,,2,,2,,
100.5,113,1176,Murguía,Spain,,Cretaceous,Lower Cretaceous,Albian,24,2,0,1,2,,,,4,,5
340,341,3463,"Yatton, Bristol, England",United Kingdom,Clifton Down Limestone,Carboniferous,Mississippian,upper Holkerian,12,3,1,4,1,1,1,,2,,
336,338,429,"Halton, Carnforth, Great Britain",United Kingdom,,Carboniferous,Mississippian,upper Asbian,12,3,0,1,2,,,,3,,150
100.5,113,1282,Gorbea II,Spain,,Cretaceous,Lower Cretaceous,Albian,24,2,0,2,2,,,,2,,10
120,125,1281,Gorbea,Spain,,Cretaceous,Lower Cretaceous,lower Aptian,23,3,0,2,1,,,,1,,10
342,345,2386,"Hadnock, Wales, Great Britain",United Kingdom,,Carboniferous,Mississippian,Arundian,12,3,0,4,1,1,,,,,
342,345,2387,"Stack Cleugh, Bewcastle, England",United Kingdom,,Carboniferous,Mississippian,Arundian,12,2,0,4,1,2,,,1,13,
113,125,2007,Ereño,Spain,,Cretaceous,Lower Cretaceous,Aptian,23,1,0,4,1,2,,,1,,
5.3,7.3,3582,Kebdana Platform reefs,Morocco,,Neogene,Miocene,Messinian,32,3,0,1,1,,1,,1,,
152.1,157.3,406,Torrecilla en Cameros,Spain,,Jurassic,Upper Jurassic,lower Kimmeridgian,21,3,0,1,2,45,,,4,,100
113,125,1220,Zaraya Mountains,Spain,,Cretaceous,Lower Cretaceous,Aptian,23,2,0,2,2,15,,,2,50,1
120,125,1221,Zaraya Mountains II,Spain,,Cretaceous,Lower Cretaceous,lower Aptian,23,1,0,4,1,2,,,2,,1
427.4,430.5,1334,"Wenlock Edge, Shrophire, England",United Kingdom,Much Wenlock Limestone,Silurian,Wenlock,upper Wenlockian,7,3,0,1,2,,,,2,,30
