"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Amphiporida"
"Access Time","Fri 2026-01-02 02:55:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Amphiporida"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0103"
"Records Found","461"
"Records Returned","461"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"125040","occ","","","10127","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Pragian","Early Emsian","413.02","399.5","458"
"125092","occ","","","10131","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Pragian","Early Emsian","413.02","399.5","458"
"155983","occ","","","13873","Clathrodictyella mica","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6163"
"157529","occ","","","13958","Stellopora grandessa","genus","121178","species not entered","Stellopora","genus","121178","Pridoli","","422.7","419.62","6176"
"157648","occ","","","13966","Stellopora intexta","genus","121178","species not entered","Stellopora","genus","121178","Lochkovian","","419.62","413.02","6176"
"161578","occ","","","14256","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Early Emsian","","410.62","399.5","6304"
"210291","occ","","","23245","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Middle Frasnian","","379","375.2","6682"
"229802","occ","","","23359","Amphipora sokolovi","genus","3346","species not entered","Amphipora","genus","3346","Pridoli","","422.7","419.62","6695"
"231853","occ","","","23500","Clathrodictyella sp.","genus","3358","","Clathrodictyella","genus","3358","Homerian","Gorstian","430.6","425","6713"
"237803","occ","","","23709","Stellopora simplex","genus","121178","species not entered","Stellopora","genus","121178","Ludlow","","426.7","422.7","6753"
"237806","occ","","","23710","Clathrodictyella turkestanica","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"237807","occ","","","23710","Clathrodictyella crassa","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"237808","occ","","","23710","Clathrodictyella issensis","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"237809","occ","","","23710","Clathrodictyella magna","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"237810","occ","","","23710","Clathrodictyella contorta","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"237811","occ","","","23710","Stellopora vasta","genus","121178","species not entered","Stellopora","genus","121178","Ludlow","","426.7","422.7","6753"
"237871","occ","","","23719","Clathrodictyella turkestanica","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6753"
"237872","occ","","","23719","Clathrodictyella magna","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6753"
"237873","occ","","","23719","Clathrodictyella retroata","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6753"
"237874","occ","","","23719","Clathrodictyella mica","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6753"
"237875","occ","","","23719","Stellopora grandessa","genus","121178","species not entered","Stellopora","genus","121178","Pridoli","","422.7","419.62","6753"
"237876","occ","","","23719","Stellopora vasta","genus","121178","species not entered","Stellopora","genus","121178","Pridoli","","422.7","419.62","6753"
"237877","occ","","","23719","Stellopora rara","genus","121178","species not entered","Stellopora","genus","121178","Pridoli","","422.7","419.62","6753"
"237878","occ","","","23719","Stellopora raritatis","genus","121178","species not entered","Stellopora","genus","121178","Pridoli","","422.7","419.62","6753"
"237897","occ","","","23722","Clathrodictyella retroata","genus","3358","species not entered","Clathrodictyella","genus","3358","Pridoli","","422.7","419.62","6753"
"237930","occ","","","23725","Stellopora intexta","genus","121178","species not entered","Stellopora","genus","121178","Lochkovian","","419.62","413.02","6753"
"238086","occ","","","23749","Clathrodictyella crassa","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"238087","occ","","","23749","Clathrodictyella contorta","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"238088","occ","","","23749","Clathrodictyella turkestanica","genus","3358","species not entered","Clathrodictyella","genus","3358","Ludlow","","426.7","422.7","6753"
"247935","occ","","","24213","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Eifelian","","393.47","387.95","6844"
"254974","occ","","","24744","Amphiporidae indet.","family","108090","","Amphiporidae","family","108090","Wenlock","","432.9","426.7","6753"
"261658","occ","","","25263","Amphipora rudis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","7082"
"261659","occ","","","25263","Amphipora pervesiculata","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","7082"
"262526","occ","","","25367","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Eifelian","","393.47","387.95","7100"
"274359","occ","","","26249","Amphipora aff. ramosa","species","440592","","Amphipora ramosa","species","440591","Early Emsian","","410.62","399.5","7264"
"290885","occ","","","27766","? Amphipora sp.","genus","3346","","Amphipora","genus","3346","Wenlock","Ludlow","432.9","422.7","7624"
"293968","occ","","","28047","Amphipora ramosa","species","440592","","Amphipora ramosa","species","440591","Late Givetian","Early Frasnian","383.4","379","7681"
"368804","occ","","","34891","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","9361"
"368831","occ","","","34889","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","9361"
"369767","occ","","","34990","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","9409"
"369768","occ","","","34990","Paramphipora sp.","genus","115695","","Paramphipora","genus","115695","Givetian","","387.95","382.31","9409"
"384472","occ","","","36604","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","9811"
"403210","occ","","","38683","? Amphipora sp.","genus","3346","","Amphipora","genus","3346","Givetian","","387.95","382.31","10391"
"403214","occ","","","38686","Amphipora pervesiculata","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10391"
"403215","occ","","","38686","? Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10391"
"403217","occ","","","38686","Euryamphipora sp.","genus","3377","","Euryamphipora","genus","3377","Frasnian","","382.31","372.15","10391"
"407151","occ","","","39161","Amphipora indet.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"407154","occ","","","39162","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"407155","occ","","","39162","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"407164","occ","","","39164","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"407165","occ","","","39164","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"407169","occ","","","39165","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"407175","occ","","","39166","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"407176","occ","","","39166","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"407182","occ","","","39167","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"407192","occ","","","39168","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","Famennian","382.31","358.86","10565"
"407193","occ","","","39168","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","Famennian","382.31","358.86","10565"
"407199","occ","","","39169","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","Famennian","382.31","358.86","10565"
"407894","occ","","","39237","Amphipora pervesisulcata","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10601"
"407895","occ","","","39237","Amphipora rudis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10601"
"407915","occ","","","39240","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10601"
"408722","occ","","","39336","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","Famennian","382.31","358.86","10565"
"408723","occ","","","39336","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","Famennian","382.31","358.86","10565"
"408742","occ","","","39341","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","Famennian","382.31","358.86","10565"
"408752","occ","","","39343","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"408786","occ","","","39348","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"408790","occ","","","39349","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"408791","occ","","","39349","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410389","occ","","","39631","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"410396","occ","","","39632","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10565"
"410397","occ","","","39632","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410404","occ","","","39633","Amphipora sp.","genus","3346","","Amphipora","genus","3346","Frasnian","","382.31","372.15","10565"
"410413","occ","","","39634","Amphipora moravica","species","131324","","Amphipora moravica","species","131324","Frasnian","","382.31","372.15","10576"
"410414","occ","","","39634","Amphipora tschussovensis","genus","3346","species not entered","Amphipora","genus","3346","Frasnian","","382.31","372.15","10576"
